comment_score,created_utc,labeled_submission,Sentiment
1,05/12/2024 15:12,BTC,Negative
1,05/12/2024 15:24,BTC,Negative
1,05/12/2024 15:15,BTC,Negative
1,05/12/2024 15:20,BTC,Positive
1,05/12/2024 15:14,BTC,Positive
1,05/12/2024 15:17,BTC,Positive
1,05/12/2024 15:21,BTC,Negative
1,05/12/2024 15:21,BTC,Negative
1,05/12/2024 15:21,BTC,Negative
1,05/12/2024 15:36,BTC,Positive
1,05/12/2024 15:16,BTC,Positive
1,05/12/2024 15:17,BTC,Positive
1,05/12/2024 15:21,BTC,Positive
1,05/12/2024 15:35,BTC,Positive
1,05/12/2024 15:39,BTC,Negative
1,05/12/2024 15:40,BTC,Positive
1,05/12/2024 15:25,BTC,Negative
1,05/12/2024 15:35,BTC,Positive
1,05/12/2024 15:34,BTC,Negative
1,05/12/2024 15:39,BTC,Negative
1,05/12/2024 15:36,BTC,Positive
1,05/12/2024 15:39,BTC,Positive
1,05/12/2024 15:39,BTC,Negative
1,05/12/2024 15:23,BTC,Negative
1,05/12/2024 15:19,BTC,Negative
1,05/12/2024 15:39,BTC,Positive
1,05/12/2024 15:39,BTC,Negative
1,05/12/2024 15:20,BTC,Negative
1,05/12/2024 15:21,BTC,Negative
1,05/12/2024 15:25,BTC,Positive
1,05/12/2024 15:05,ETH,Negative
1,05/12/2024 15:11,ETH,Negative
1,05/12/2024 15:11,ETH,Negative
1,05/12/2024 15:00,BTC,Negative
1,05/12/2024 15:16,BTC,Negative
1,05/12/2024 15:13,BTC,Positive
1,05/12/2024 15:37,BTC,Negative
1,05/12/2024 15:24,BTC,Negative
1,05/12/2024 14:52,SOL,Negative
1,05/12/2024 14:58,SOL,Positive
1,05/12/2024 14:43,SOL,Positive
1,05/12/2024 14:55,SOL,Negative
1,05/12/2024 14:59,SOL,Negative
21,05/12/2024 12:54,BTC,Negative
5,05/12/2024 13:48,BTC,Positive
8,05/12/2024 12:59,BTC,Negative
6,05/12/2024 13:10,BTC,Positive
2,05/12/2024 14:02,BTC,Negative
2,05/12/2024 14:26,BTC,Negative
1,05/12/2024 14:43,BTC,Negative
4,05/12/2024 12:59,BTC,Positive
1,05/12/2024 14:06,BTC,Negative
1,05/12/2024 14:08,BTC,Negative
1,05/12/2024 15:01,BTC,Negative
1,05/12/2024 15:15,BTC,Negative
5,05/12/2024 13:47,BTC,Negative
1,05/12/2024 15:01,BTC,Negative
1,05/12/2024 15:21,BTC,Negative
1,05/12/2024 14:46,BTC,Positive
1,05/12/2024 15:22,BTC,Positive
1,05/12/2024 14:42,BTC,Negative
1,05/12/2024 14:06,BTC,Negative
1,05/12/2024 14:08,BTC,Negative
32,05/12/2024 10:22,ETH,Positive
40,05/12/2024 10:23,ETH,Negative
6,05/12/2024 10:09,ETH,Positive
10,05/12/2024 10:42,ETH,Positive
12,05/12/2024 11:27,ETH,Positive
5,05/12/2024 13:48,ETH,Positive
2,05/12/2024 11:04,ETH,Positive
1,05/12/2024 10:31,ETH,Positive
1,05/12/2024 10:40,ETH,Positive
1,05/12/2024 10:48,ETH,Negative
1,05/12/2024 14:49,ETH,Positive
1,05/12/2024 11:43,ETH,Positive
1,05/12/2024 15:10,ETH,Negative
-14,05/12/2024 11:34,ETH,Negative
6,05/12/2024 10:44,ETH,Positive
1,05/12/2024 13:03,ETH,Negative
8,05/12/2024 11:54,ETH,Positive
3,05/12/2024 11:54,ETH,Negative
1,05/12/2024 10:48,ETH,Negative
8,05/12/2024 12:10,ETH,Positive
1,05/12/2024 14:41,ETH,Positive
-5,05/12/2024 12:40,ETH,Negative
3,05/12/2024 14:07,ETH,Negative
1,05/12/2024 14:52,ETH,Negative
0,05/12/2024 14:13,ETH,Positive
1,05/12/2024 14:57,ETH,Negative
2,05/12/2024 14:22,ETH,Positive
1,05/12/2024 14:43,ETH,Negative
194,05/12/2024 10:13,BTC,Negative
159,05/12/2024 09:46,BTC,Negative
70,05/12/2024 09:42,BTC,Positive
30,05/12/2024 10:12,BTC,Negative
39,05/12/2024 09:42,BTC,Positive
7,05/12/2024 11:31,BTC,Negative
6,05/12/2024 10:27,BTC,Negative
15,05/12/2024 09:47,BTC,Positive
9,05/12/2024 10:13,BTC,Positive
3,05/12/2024 10:01,BTC,Negative
4,05/12/2024 10:19,BTC,Positive
6,05/12/2024 09:57,BTC,Negative
2,05/12/2024 10:11,BTC,Negative
2,05/12/2024 10:36,BTC,Negative
2,05/12/2024 12:30,BTC,Positive
2,05/12/2024 12:44,BTC,Negative
2,05/12/2024 10:10,BTC,Negative
3,05/12/2024 12:03,BTC,Positive
1,05/12/2024 10:28,BTC,Positive
1,05/12/2024 10:30,BTC,Positive
1,05/12/2024 10:38,BTC,Negative
1,05/12/2024 10:43,BTC,Negative
1,05/12/2024 10:45,BTC,Negative
1,05/12/2024 10:54,BTC,Positive
1,05/12/2024 10:56,BTC,Negative
1,05/12/2024 11:07,BTC,Negative
1,05/12/2024 11:09,BTC,Negative
1,05/12/2024 11:22,BTC,Negative
1,05/12/2024 11:43,BTC,Negative
1,05/12/2024 12:08,BTC,Negative
1,05/12/2024 12:12,BTC,Negative
1,05/12/2024 12:36,BTC,Negative
1,05/12/2024 12:42,BTC,Negative
1,05/12/2024 12:56,BTC,Negative
1,05/12/2024 13:05,BTC,Negative
1,05/12/2024 13:08,BTC,Negative
1,05/12/2024 13:14,BTC,Negative
1,05/12/2024 13:20,BTC,Negative
1,05/12/2024 14:05,BTC,Positive
1,05/12/2024 14:26,BTC,Positive
1,05/12/2024 14:44,BTC,Negative
1,05/12/2024 15:11,BTC,Negative
1,05/12/2024 15:23,BTC,Positive
1,05/12/2024 10:15,BTC,Negative
100,05/12/2024 10:17,BTC,Negative
18,05/12/2024 10:15,BTC,Positive
6,05/12/2024 10:31,BTC,Negative
1,05/12/2024 10:42,BTC,Positive
89,05/12/2024 09:54,BTC,Negative
10,05/12/2024 10:11,BTC,Negative
2,05/12/2024 14:39,BTC,Negative
1,05/12/2024 09:57,BTC,Negative
1,05/12/2024 11:28,BTC,Positive
1,05/12/2024 11:42,BTC,Negative
30,05/12/2024 09:53,BTC,Negative
11,05/12/2024 10:30,BTC,Negative
6,05/12/2024 12:08,BTC,Negative
17,05/12/2024 10:31,BTC,Positive
1,05/12/2024 10:34,BTC,Negative
-1,05/12/2024 09:57,BTC,Negative
3,05/12/2024 13:38,BTC,Positive
4,05/12/2024 11:49,BTC,Negative
4,05/12/2024 11:44,BTC,Negative
22,05/12/2024 09:54,BTC,Negative
8,05/12/2024 09:57,BTC,Negative
7,05/12/2024 10:05,BTC,Positive
2,05/12/2024 10:29,BTC,Negative
26,05/12/2024 10:42,BTC,Negative
2,05/12/2024 12:09,BTC,Negative
0,05/12/2024 10:26,BTC,Negative
0,05/12/2024 11:32,BTC,Negative
1,05/12/2024 10:43,BTC,Negative
1,05/12/2024 11:22,BTC,Negative
1,05/12/2024 12:08,BTC,Negative
1,05/12/2024 12:36,BTC,Negative
1,05/12/2024 12:42,BTC,Negative
1,05/12/2024 12:56,BTC,Positive
1,05/12/2024 13:05,BTC,Negative
1,05/12/2024 13:08,BTC,Negative
1,05/12/2024 13:14,BTC,Negative
1,05/12/2024 13:20,BTC,Negative
1,05/12/2024 14:44,BTC,Negative
3,05/12/2024 10:24,BTC,Negative
1,05/12/2024 10:17,BTC,Negative
73,05/12/2024 10:17,BTC,Positive
2,05/12/2024 12:23,BTC,Negative
-1,05/12/2024 11:03,BTC,Negative
1,05/12/2024 14:57,BTC,Negative
41,05/12/2024 10:08,BTC,Positive
10,05/12/2024 10:29,BTC,Negative
5,05/12/2024 10:25,BTC,Negative
2,05/12/2024 10:15,BTC,Negative
